TypeEx,Name,Description,URL,Rating,Category,Keywords,Comments,Uid
Filter,2009_rollup (Social-Services/2009_rollup/4czu-pn25),311 Service Requests for 2006. This is historical data and will not be updated.,https://data.cityofnewyork.us/Social-Services/2009_rollup/4czu-pn25,0,Social Services,"311, 311 service requests, 2006, all service requests",0,4czu-pn25
Tabular,Electronics Stores (Business-and-Economic/Electronics-Stores/xszr-btpb),A list of electronics stores that have a current DCA license as of the run date.,https://data.cityofnewyork.us/Business-and-Economic/Electronics-Stores/xszr-btpb,0,Business and Economic,"retail, sale, sell, license, store, electronics, consumer affairs, dca",0,xszr-btpb
Map,Newport (Cultural-Affairs/Newport/jd9a-5gug),"Landmarks Preservation Commission point shapefile. A point shapefile of NYC Landmarks Preservation Commission individual, interior and scenic landmarks as well as points of all buildings within historic districts; for use in Geographic Information Systems (GIS).",https://data.cityofnewyork.us/Cultural-Affairs/Newport/jd9a-5gug,0,Cultural Affairs,"geographic, location, map, cartography, historic, landmark, preservation, preserve, conservation, conserve, interior, scenic, building, district",0,jd9a-5gug
Filter,Manhattan Noise 2009 - Addenum Street & Cars (Other/Manhattan-Noise-2009-Addenum-Street-Cars/pybt-5ufb),All 311 Requests from year 2009. This is historical data and will not be updated.,https://data.cityofnewyork.us/Other/Manhattan-Noise-2009-Addenum-Street-Cars/pybt-5ufb,0,Other,"311, 311 service requests, 2009, all service requests",0,pybt-5ufb
External,Elevation (dataset/Elevation/t9k3-tbwy),Planimetric basemap layer containing elevations,https://data.cityofnewyork.us/dataset/Elevation/t9k3-tbwy,0,,doitt gis,0,t9k3-tbwy
Map,2 (Health/2/su43-km57),"Provides Community Health Survey aggregated city-wide rates by United Hospital Fund neighborhoods and two Boundaries files. These are GIS data The rates cover a number of health topics including: general health status, health care access, cardiovascular health, diabetes, asthma, immunizations, mental health, smoking, second-hand smoke, obesity, commuting patterns, physical activity, cancer screening, HIV, sexual behavior, birth control, drug use, and domestic violence.",https://data.cityofnewyork.us/Health/2/su43-km57,0,Health,"health, safety, geographic, map, cartography, public, community, neighborhood, location, hospital, fund, boundary, boundaries, status, statistics, care",0,su43-km57
External,Employment Opportunities (Other/Employment-Opportunities/dhu2-kitw),List of current jobs at DDC,https://data.cityofnewyork.us/Other/Employment-Opportunities/dhu2-kitw,0,Other,,0,dhu2-kitw
Tabular,Energy Efficiency Projects (Environmental-Sustainability/Energy-Efficiency-Projects/h3qk-ybvt),"The Cityâ€™s Long-Term Sustainability Plan, PlaNYC, calls for City government to reduce greenhouse gas emissions produced by municipal operations 30% by 2017. A large part of this effort is retrofitting municipal buildings to become more energy efficient. This dataset lists energy efficiency projects at City buildings that are complete or in progress. Projects are listed by address, building name, and agency, and the dataset includes the estimated reduction in tons of GHG emissions associated with the project.",https://data.cityofnewyork.us/Environmental-Sustainability/Energy-Efficiency-Projects/h3qk-ybvt,0,Environmental Sustainability,"department of citywide administrative services, energy efficiency projects, dcas, sustainability, planyc, retrofit, efficient, emission, ghg, energy management, energy",0,h3qk-ybvt
Filter,Dirty Water - No ZIPs (Social-Services/Dirty-Water-No-ZIPs/6wrh-b4p8),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Dirty-Water-No-ZIPs/6wrh-b4p8,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,6wrh-b4p8
Filter,Housing Complaints - scrubbed for Analysis - Sept 2012 (Social-Services/Housing-Complaints-scrubbed-for-Analysis-Sept-2012/yw4a-n3kr),All 311 Service Requests from 2010 to mid-February 2012.,https://data.cityofnewyork.us/Social-Services/Housing-Complaints-scrubbed-for-Analysis-Sept-2012/yw4a-n3kr,0,Social Services,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,yw4a-n3kr
Filter,Date-Range-Filtered SRs (Social-Services/Date-Range-Filtered-SRs/bxxz-k2ha),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Date-Range-Filtered-SRs/bxxz-k2ha,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,bxxz-k2ha
Tabular,Energy Usage From DCAS Buildings (Statistics/Energy-Usage-From-DCAS-Buildings/pwva-zn2w),Energy data from a select portfolio of City-owned buildings (DCAS),https://data.cityofnewyork.us/Statistics/Energy-Usage-From-DCAS-Buildings/pwva-zn2w,0,Statistics,"energy usage from dcas buildings, electricity, steam, data, building, btu, watts, heat, oil, dcas",0,pwva-zn2w
Map,Google Map of 311 Placard Complaints - 2008 (Other/Google-Map-of-311-Placard-Complaints-2008/cvah-qkdr),311 Service Requests for 2008. This is historical data and will not be updated.,https://data.cityofnewyork.us/Other/Google-Map-of-311-Placard-Complaints-2008/cvah-qkdr,0,Other,"311, 311 service requests, 2008, all service requests",0,cvah-qkdr
Filter,Party Complaints (Social-Services/Party-Complaints/mrsb-nsv6),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Party-Complaints/mrsb-nsv6,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,mrsb-nsv6
Filter,311 SRs - HPD (Social-Services/311-SRs-HPD/9ear-7rrm),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-SRs-HPD/9ear-7rrm,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,9ear-7rrm
Filter,Bronx_311_School_Suspension_Discipline (Social-Services/Bronx_311_School_Suspension_Discipline/um8t-m55i),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Bronx_311_School_Suspension_Discipline/um8t-m55i,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,um8t-m55i
Map,2012 Lamppost Knocked Down - Sandy (Social-Services/2012-Lamppost-Knocked-Down-Sandy/btg5-rbma),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/2012-Lamppost-Knocked-Down-Sandy/btg5-rbma,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,btg5-rbma
Filter,311 important columns (Social-Services/311-important-columns/wz7x-gr8c),All 311 Service Requests from 2010 to early March 2012. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/311-important-columns/wz7x-gr8c,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,wz7x-gr8c
Filter,City.do API data 001 (Other/City-do-API-data-001/ssca-d8tn),All 311 Service Request from 2010 to Present. Starting in November 2011 the data will be updated on a daily basis.,https://data.cityofnewyork.us/Other/City-do-API-data-001/ssca-d8tn,0,Other,"311, 311 service requests, 2010, 2011, service request status, all service requests",0,ssca-d8tn
Tabular,Energy Usage From DOE Buildings (Statistics/Energy-Usage-From-DOE-Buildings/mq6n-s45c),Energy data from a select portfolio of City-owned buildings (DOE),https://data.cityofnewyork.us/Statistics/Energy-Usage-From-DOE-Buildings/mq6n-s45c,0,Statistics,"energy usage from doe buildings, electricity, steam, data, building, btu, watts, heat, oil, doe",0,mq6n-s45c
Filter,DEP (Social-Services/DEP/gd7c-erma),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/DEP/gd7c-erma,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,gd7c-erma
Map,Noise Complaints in NYC 2010 to Now (Social-Services/Noise-Complaints-in-NYC-2010-to-Now/schv-9mb7),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Noise-Complaints-in-NYC-2010-to-Now/schv-9mb7,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,schv-9mb7
Map,Ridgewood Noise Complaints Ice Cream Truck (Social-Services/Ridgewood-Noise-Complaints-Ice-Cream-Truck/h448-645k),All 311 Service Requests from 2010 to present. This information is automatically updated daily.,https://data.cityofnewyork.us/Social-Services/Ridgewood-Noise-Complaints-Ice-Cream-Truck/h448-645k,0,Social Services,"311, 311 service requests, 2010, 2011, 2012, service request status, all service requests",0,h448-645k
Tabular,English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - All Students (Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/4kse-vfnd),"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam.",https://data.cityofnewyork.us/Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/4kse-vfnd,0,Education,,0,4kse-vfnd
Tabular,English Language Arts (ELA) Test Results by Grade 2006-2011 - Boro - by Disability Status (Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/hcf7-jp2y),"New York City Results on the New York State English Language Arts (ELA) Tests, Grades 3 - 8
Notes:
As of 2006, the New York State Education Department expanded the ELA and mathematics testing programs to Grades 3-8. Previously, state tests were administered in Grades 4 and 8 and citywide tests were administered in Grades 3, 5, 6, and 7.
Starting in 2010, NYSED changed the scale score required to meet each of the proficiency levels, increasing the number of questions students needed to answer correctly to meet proficiency.
In 2007, the New York State Education Department updated its testing policy for English Language Learners: ELLs in an English Language School System for more than one year are required to take the ELA exam. Previously, ELLs in an English Language School System for less than 3 years were exempt from taking the ELA exam.",https://data.cityofnewyork.us/Education/English-Language-Arts-ELA-Test-Results-by-Grade-20/hcf7-jp2y,0,Education,,0,hcf7-jp2y
